Event Name,Event Time,Status,External Url
Toptalk with Morgan,"Apr 29, 2023 03:00 PM - Apr 29, 2023 04:00 PM",APPROVED,
July 1st -Digital Twins Discussion - Mystery Metaverse Saturday ,"Jul 01, 2023 02:00 PM - Jul 01, 2023 03:00 PM",APPROVED,
Building Your Product-Focused Resume,"Jul 21, 2022 12:00 AM - Jul 21, 2022 12:45 AM",APPROVED,https://joinleland.typeform.com/to/K19sdefK
Gen Z Better Have Their Money with Danielle Farage,"Mar 14, 2023 04:30 PM - Mar 14, 2023 05:10 PM",APPROVED,
Webinar: Product Managers vs Product Owners by fmr Google Product Leader,"Aug 01, 2021 06:30 PM - Aug 01, 2021 07:00 PM",APPROVED,
Webinar: Be a Google PM Without Tech Background by Google Product Leader,"Jun 20, 2021 09:00 PM - Jun 20, 2021 09:30 PM",APPROVED,
I'm Happy To Announce Project Ep. 2: Disney: Associate PM Intern,"Jul 01, 2022 12:30 AM - Jul 01, 2022 01:30 AM",APPROVED,
How to Break into Tech Roles,"Aug 21, 2023 10:00 PM - Aug 21, 2023 11:00 PM",APPROVED,
Manager Secrets: Time Management Hacks,"Sep 27, 2023 07:00 PM - Sep 27, 2023 08:00 PM",RELINQUISHED,
Get started with Neural Networks using PyTorch,"Oct 29, 2021 11:30 PM - Oct 31, 2021 01:30 PM",APPROVED,
Live Chat with Airbnb Global Product Lead,"Aug 19, 2021 05:30 PM - Aug 19, 2021 06:00 PM",APPROVED,
Building Great Products with Data and Analytics with Justin Bauer,"Feb 03, 2023 05:00 PM - Feb 03, 2023 05:30 PM",APPROVED,
The Business Series: Alumni Mixer,"Oct 19, 2023 01:00 AM - Oct 19, 2023 03:00 AM",APPROVED,https://www.eventbrite.com/e/the-business-series-alumni-mixer-tickets-728409691997?aff=oddtdtcreator
"Fireside Chat with Twitter VP of Engineering, Nick Caldwell","Oct 22, 2021 08:00 PM - Oct 22, 2021 08:30 PM",APPROVED,
Savvy UX Summit 2021 (Virtual),"Sep 17, 2021 05:00 AM - Sep 19, 2021 10:00 AM",APPROVED,www.savvyuxsummit.com
HotRecruiter.io | Live Q&A with Guest Tommy the Tech Recruiter,"Dec 14, 2022 11:00 PM - Dec 15, 2022 12:00 AM",APPROVED,
Thriving as Women Innovators in Tech/Product Panel Discussion,"Mar 10, 2023 05:00 PM - Mar 10, 2023 05:30 PM",APPROVED,
"Let's Talk: Internships with Morgan Young / Gen Z Creator, Speaker","Mar 20, 2023 11:00 PM - Mar 21, 2023 12:00 AM",APPROVED,
LinkedIn Kickback (Microsoft Style),"Jan 11, 2023 07:00 PM - Jan 11, 2023 08:00 PM",APPROVED,
Hear it from Gen Z: Embracing our Career Potential,"Aug 22, 2023 04:30 PM - Aug 22, 2023 05:00 PM",RELINQUISHED,
Women in Tech Global Conference 2023,"May 09, 2023 01:00 PM - May 12, 2023 09:00 PM",APPROVED,https://www.womentech.net/women-tech-conference
Quit Landing in Toxic Workplaces,"Aug 24, 2023 04:00 PM - Aug 24, 2023 05:00 PM",APPROVED,
Virtual Entrepreneurship Makeathon: Global 2020,"Nov 21, 2020 01:00 AM - Nov 23, 2020 01:30 AM",APPROVED,https://www.eventbrite.com/e/virtual-entrepreneurship-makeathon-global-2020-tickets-123336724463
How to Break Into Product Management,"Apr 26, 2023 11:00 PM - Apr 27, 2023 12:00 AM",APPROVED,https://lu.ma/pmevent?utm_source=linkedin
Webinar: Build Successfully: Use the Mission of Your Brand by Disney Sr PM,"Aug 01, 2021 09:00 PM - Aug 01, 2021 09:30 PM",APPROVED,
"Stories, Strategies and Struggles From LinkedIn Creators","May 09, 2023 12:00 AM - May 09, 2023 01:00 AM",APPROVED,
The Business of Storytelling: Create Wonder in Your Work w/ Saul Blinkoff,"Sep 21, 2022 04:30 PM - Sep 21, 2022 05:30 PM",APPROVED,
Top 5 Things Creators Need to Know,"Sep 24, 2021 05:00 PM - Sep 24, 2021 05:30 PM",APPROVED,
This Is Working,"Mar 23, 2022 06:15 PM - Mar 23, 2022 07:15 PM",APPROVED,
Prompt crafting for AI writing tools: content marketing,"Jan 26, 2023 05:30 PM - Jan 26, 2023 06:30 PM",APPROVED,https://writer.com/events/prompt-crafting-content-marketers/
