Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Explore a Career in Product Management,"Product managers have many responsibilities: product strategy, development, and design, as well as product launch and retirement. They work with stakeholders from UX, engineering, and marketing to sales and management. Build the foundation you need to hit the ground running as a new product manager.",Learning Path,N/A,N/A,true,N/A,
Python for Students,"There is no better time to learn Python than when you are young. Python is a powerful language for automation, game development, and web programming, and a great choice if you’re just starting to learn how to write code. The skills you learn in Python can translate C++, Ruby, and JavaScript. In this course—designed specifically for high-school and college-age students—you can learn how to use Python at an introductory level. Explore variables and functions, calculations, if-else statements, loops, and lists, and then build a complete Python project. Plus, find out where to go to learn more and how to join the Python community.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,N/A,N/A,true,N/A,
Learning Jira Software,"Software development is a special type of work and great tools are needed to do it well. Jira Software’s features extend Jira so development teams can implement feature requests, track progress, fix bugs, and manage their work from requirements gathering to deployment. In this course, Rachel Wright covers: How Jira Software extends Jira with development-specific features; ways to leverage backlogs, sprints, and fix versions;  how to use different software project types; the differences between company-managed and team-managed projects; how to leverage filters and filter subscriptions; how to create your own custom boards and dashboards; and more. Rachel also presents several challenges and solutions, so you can practice what you learn as you follow along.",Course,N/A,N/A,true,N/A,
Product Management: Launching Your Product,"80% of new products fail. What are the other 20% doing right? Companies that see new products thrive did strategic planning to make it happen. Learn how to launch your product into the marketplace the right way. Entrepreneur and executive Karen Holst helps you to understand all the steps to successfully take your product from an idea to a customer’s hands. Discover how to identify your audience and the problem you’re solving for them. Identify the right goals, strategy, and team to heighten your product’s visibility and adoption, while avoiding costly mistakes. Learn how to build a product launch checklist and access the best tools and resources available for product leaders. Explore marketing strategies for connecting to customers with social media, video, influencer campaigns, and more. Plus, discover how to continue to grow your business beyond product launch day.",Course,N/A,N/A,true,N/A,
Nano Tips for Aspiring Product Managers with Cherie Luo,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.
<br><br>
Here, join Cherie Luo, senior product manager at LinkedIn, as she provides advice for aspiring product managers. She starts by detailing things you need to know about product managers—what exactly a product manager does, how they spend their time, traits of great product managers—and then offers advice on how to get a job as a product manager.",Course,N/A,N/A,true,N/A,
HTML Essential Training,"Hypertext Markup Language (HTML) is the foundation of website and web application development. It allows you to ensure that your content is understood by both segments of your audience: the people who watch, read, or listen to your content, and the computers that display it. In this course, learn how to craft excellent HTML with the pieces that HTML itself has to offer. Instructor Jen Simmons highlights all of the fundamental concepts you need to use HTML thoughtfully. She focuses on semantic markup: tagging content as what it is, and not just for formatting, convention, or convenience. This has far-reaching impact for those who consume the web differently; it ensures that when a screen reader or a system (like a search engine) consumes a page, it knows exactly what it contains and how to categorize that information.",Course,N/A,N/A,true,N/A,
Selling and Marketing Your Products on Amazon,"You’ve already done the hard part—creating a product that customers will love. In this course, learn how to successfully shepherd that product into one of the internet’s most bustling marketplaces: Amazon. Ryan Mulvany—the founder of Quiverr, a top Amazon brand management and marketing agency—serves as your guide, showing you each of the key steps you need to follow to market and sell your products on the site. Learn how to create product listings and rank your products in a way that maximizes their potential; choose the right distribution strategy, whether it’s selling directly or using Fulfillment by Amazon (FBA); price your products; and look for smart ways to advertise.",Course,N/A,N/A,true,N/A,
Succeeding in Web Development: Full Stack and Front End,"Do you want to become a web developer? Nowadays, web development isn't one job. There is a range of technologies and career options to explore. The core responsibilities are split two ways—between front-end developers who specialize in websites and applications and back-end developers who work with servers and databases—but you can also become a full-stack developer who oversees all aspects of a project. This course provides a map of the core technologies and advice about mastering them, complemented with the details you need to connect them to jobs. Senior staff author Ray Villalobos also provides tips on finding training, getting hired, and maximizing your earning potential in this lucrative and exciting field.",Course,2022-06-15 21:20 UTC,N/A,false,N/A,
Nano Tips for Negotiating Your Salary with Sho Dewan,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO and founder of Workhap and a LinkedIn Top Voice in Job Search and Careers.</p><p>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.</p>",Course,2022-11-29 05:10 UTC,N/A,false,N/A,
Coding Exercises: Java,"How do you get better at writing code in Java? You practice, of course. Test your Java skills with these hands-on practice challenges. In this course, instructor Kathryn Hodge presents a variety of concise (five minutes or less) beginner, intermediate, and advanced code challenges that you can use to test your skills. The lessons are independent, so you can skip around and watch them in any order. For each challenge, Kathryn provides a walkthrough solution and automated testing files. The goal of this course is not only to develop your skills in Java, but also to show you some tricks of the trade that software developers in the industry use every day.",Course,2021-04-27 02:10 UTC,N/A,false,N/A,
